original_title,popularity,vote_average,vote_count,runtime,release_year
Ava,302.664,5.7,1785.0,96.0,2020.0
My Little Pony: A New Generation,316.848,8.1,131.0,91.0,2021.0
Black Water: Abyss,274.301,5.1,284.0,98.0,2020.0
We Broke Up,272.144,5.7,12.0,82.0,2021.0
Monster Hunter,273.173,6.9,2236.0,104.0,2020.0
Chacun chez soi,257.834,5.4,27.0,83.0,2021.0
After.Life,387.777,6.1,803.0,104.0,2009.0
The Unholy,263.412,6.9,1410.0,99.0,2021.0
Swim,273.818,7.4,16.0,87.0,2021.0
Kate,270.225,6.8,740.0,106.0,2021.0
"The Simpsons: The Good, the Bart, and the Loki",276.105,7.6,431.0,6.0,2021.0
Ron's Gone Wrong,287.164,7.3,41.0,106.0,2021.0
The Croods: A New Age,277.639,7.6,2621.0,95.0,2020.0
El mesero,249.461,8.3,286.0,86.0,2021.0
Love Hard,279.451,6.6,170.0,105.0,2021.0
Encanto,265.395,0.0,0.0,99.0,2021.0
Hacksaw Ridge,233.039,8.2,10136.0,139.0,2016.0
ブライト: サムライソウル,240.726,6.2,22.0,80.0,2021.0
劇場版 NARUTO -ナルト- 疾風伝,262.861,7.3,382.0,94.0,2007.0
The Marksman,287.586,7.1,950.0,108.0,2021.0
Apex,401.393,5.3,50.0,108.0,2021.0
Wonder Woman 1984,267.785,6.6,6105.0,151.0,2020.0
Un rescate de huevitos,268.087,8.1,256.0,0.0,2021.0
A Quiet Place Part II,252.028,7.7,3294.0,97.0,2021.0
Malignant,233.546,7.1,979.0,112.0,2021.0
Майор Гром: Чумной Доктор,248.521,6.8,342.0,136.0,2021.0
Le Dernier Mercenaire,265.12,6.8,431.0,110.0,2021.0
Little Big Mouth,239.444,4.9,13.0,94.0,2021.0
Nightbooks,227.322,6.6,183.0,103.0,2021.0
LEGO Star Wars Terrifying Tales,242.303,6.6,85.0,45.0,2021.0
Harry Potter and the Philosopher's Stone,234.446,7.9,21302.0,152.0,2001.0
Spider-Man: Homecoming,266.445,7.4,17065.0,133.0,2017.0
Fast & Furious 10,211.849,0.0,0.0,0.0,2023.0
Catalina la Catrina: especial Día de Muertos,260.402,3.3,5.0,0.0,2021.0
Muppets Haunted Mansion,206.82,6.9,86.0,52.0,2021.0
Jolt,243.844,6.8,753.0,91.0,2021.0
Spider-Man: Far From Home,273.535,7.5,10893.0,129.0,2019.0
Werewolves Within,225.012,6.1,179.0,97.0,2021.0
After,239.301,7.2,6704.0,106.0,2019.0
BORUTO -NARUTO THE MOVIE-,229.477,7.7,917.0,95.0,2015.0
Tom & Jerry,232.966,7.1,1831.0,101.0,2021.0
Spider-Man 3,236.031,6.3,10473.0,139.0,2007.0
Hotel Transylvania: Transformania,190.917,0.0,0.0,0.0,2022.0
Soul,229.134,8.2,7165.0,101.0,2020.0
The Last: Naruto the Movie,244.198,7.9,1069.0,114.0,2014.0
Tom Clancy's Without Remorse,223.53,7.2,1641.0,109.0,2021.0
Vivo,208.114,7.7,415.0,99.0,2021.0
イエスかノーか半分か,234.805,6.4,11.0,53.0,2020.0
The Courier,224.855,7.2,456.0,112.0,2021.0
Spirit Untamed,215.011,7.8,288.0,88.0,2021.0
"Barbie: Big City, Big Dreams",216.59,7.2,73.0,62.0,2021.0
No me echen ese muerto,173.395,7.4,17.0,0.0,2021.0
The Misfits,239.557,5.6,163.0,94.0,2021.0
Mortal Kombat Legends: Battle of the Realms,200.515,8.1,177.0,80.0,2021.0
Crank: High Voltage,219.241,6.0,2115.0,96.0,2009.0
Peter Rabbit 2: The Runaway,211.56,7.4,426.0,93.0,2021.0
서복,212.792,7.5,90.0,114.0,2021.0
The SpongeBob Movie: Sponge on the Run,200.485,7.7,2343.0,95.0,2020.0
The Green Knight,197.458,6.7,498.0,130.0,2021.0
Beckett,203.703,6.4,383.0,109.0,2021.0
Escape The Undertaker,204.213,5.3,26.0,31.0,2021.0
Harry Potter and the Goblet of Fire,212.082,7.8,16256.0,157.0,2005.0
Body Brokers,193.708,6.6,47.0,111.0,2021.0
Harry Potter and the Chamber of Secrets,216.882,7.7,17203.0,161.0,2002.0
Hancock,226.726,6.3,7665.0,92.0,2008.0
Escape Room: Tournament of Champions,174.019,6.9,709.0,88.0,2021.0
The Toll,200.391,6.2,59.0,80.0,2021.0
Carriers,203.334,5.8,815.0,84.0,2009.0
Avengers: Endgame,193.86,8.3,19434.0,181.0,2019.0
Roald Dahl's The Witches,197.823,6.5,1941.0,106.0,2020.0
Harry Potter and the Prisoner of Azkaban,208.631,8.0,16913.0,141.0,2004.0
僕のヒーローアカデミア THE MOVIE ～2人の英雄～,220.805,8.0,677.0,96.0,2018.0
No One Gets Out Alive,172.059,6.0,223.0,85.0,2021.0
火星异变,213.619,6.3,19.0,0.0,2021.0
The Avengers,209.584,7.7,25642.0,143.0,2012.0
Farm to Fork to Love,194.391,5.2,5.0,87.0,2021.0
The Amazing Spider-Man 2,221.297,6.4,9866.0,142.0,2014.0
A todo tren: destino Asturias,186.728,4.7,33.0,90.0,2021.0
The Maze Runner,204.576,7.2,13987.0,113.0,2014.0
Bride of Chucky,175.452,5.9,1302.0,89.0,1998.0
急先锋,188.834,6.3,374.0,107.0,2020.0
Public Enemies,165.954,6.7,3432.0,140.0,2009.0
Polaroid,218.474,5.8,684.0,88.0,2019.0
The Haunting of Helena,173.551,5.6,115.0,87.0,2013.0
Harry Potter and the Deathly Hallows: Part 2,191.193,8.1,16362.0,130.0,2011.0
Legion,189.34,5.7,1933.0,100.0,2010.0
Teen Titans Go! See Space Jam,199.353,7.0,143.0,80.0,2021.0
Spider-Man,221.416,7.2,14296.0,121.0,2002.0
싱크홀,189.962,7.3,21.0,113.0,2021.0
Long Story Short,179.125,7.4,51.0,90.0,2021.0
Awake,194.284,6.0,708.0,96.0,2021.0
Harry Potter and the Deathly Hallows: Part 1,186.846,7.8,15180.0,146.0,2010.0
There's Someone Inside Your House,181.842,5.7,259.0,96.0,2021.0
Harry Potter and the Half-Blood Prince,188.106,7.7,15241.0,153.0,2009.0
僕のヒーローアカデミア THE MOVIE ワールド ヒーローズ ミッション,184.977,7.2,21.0,101.0,2021.0
Vacation Friends,144.236,7.3,326.0,103.0,2021.0
Nobody,191.625,8.3,3624.0,92.0,2021.0
Undisputed III: Redemption,200.045,7.5,569.0,96.0,2010.0
Candyman,167.154,6.4,564.0,91.0,2021.0
ドラゴンボールZ 復活の「F」,187.296,6.8,1240.0,93.0,2015.0
劇場版 美少女戦士セーラームーンEternal 後編,185.857,8.2,90.0,80.0,2021.0
Wish Dragon,182.12,8.2,663.0,99.0,2021.0
Este amor es de otro planeta,247.872,4.5,2.0,88.0,2021.0
Go! Go! Cory Carson: Chrissy Takes the Wheel,155.155,5.5,8.0,0.0,2021.0
The Twilight Saga: Eclipse,183.118,6.2,7154.0,124.0,2010.0
Mulan,165.655,7.0,5239.0,115.0,2020.0
García y García,172.079,3.2,3.0,0.0,2021.0
Trigger Point,181.905,6.6,86.0,82.0,2021.0
Ninja Assassin,158.219,6.5,1053.0,99.0,2009.0
The Harder They Fall,264.246,6.6,197.0,139.0,2021.0
Star Trek,170.815,7.4,8170.0,127.0,2009.0
Percy Jackson & the Olympians: The Lightning Thief,172.953,6.2,6008.0,118.0,2010.0
It Chapter Two,165.741,6.9,6418.0,169.0,2019.0
Cult of Chucky,149.692,5.8,800.0,91.0,2017.0
The Loud House Movie,177.043,8.4,84.0,83.0,2021.0
De Slag om de Schelde,172.669,7.2,183.0,124.0,2021.0
Jiu Jitsu,165.469,5.1,445.0,102.0,2020.0
映画 この素晴らしい世界に祝福を！紅伝説,172.811,8.5,303.0,90.0,2019.0
Marco effekten,165.433,6.5,11.0,120.0,2021.0
Harry Potter and the Order of the Phoenix,175.883,7.7,15479.0,138.0,2007.0
シン・エヴァンゲリオン劇場版:||,182.942,8.6,359.0,155.0,2021.0
Confissões de Uma Garota Excluída,163.901,6.9,108.0,91.0,2021.0
青春ブタ野郎はゆめみる少女の夢を見ない,168.435,8.5,317.0,90.0,2019.0
Transformers: Age of Extinction,166.524,5.9,6392.0,165.0,2014.0
粉色樱与大眠王,169.603,4.5,2.0,77.0,2021.0
Sex and the City,147.048,6.6,1703.0,145.0,2008.0
Bartkowiak,151.004,6.3,113.0,91.0,2021.0
He's All That,176.343,6.9,679.0,91.0,2021.0
Toy Story,153.86,8.0,14635.0,81.0,1995.0
8 Rue de l'Humanité,134.572,6.1,150.0,126.0,2021.0
Zack and Miri Make a Porno,127.583,6.3,1757.0,102.0,2008.0
Frozen II,166.097,7.3,7740.0,103.0,2019.0
Scary Movie,143.834,6.3,5152.0,88.0,2000.0
Iron Man 2,177.523,6.8,16914.0,124.0,2010.0
The Hobbit: The Battle of the Five Armies,149.368,7.3,11435.0,144.0,2014.0
君の名は。,154.252,8.6,8013.0,106.0,2016.0
Deadpool,139.535,7.6,25733.0,108.0,2016.0
백두산,160.747,6.5,328.0,128.0,2019.0
The Virtuoso,143.514,6.3,196.0,105.0,2021.0
Sing,154.993,7.1,6280.0,108.0,2016.0
The Ice Road,151.124,7.2,730.0,108.0,2021.0
Host,143.281,6.6,424.0,57.0,2020.0
Avengers: Age of Ultron,139.577,7.3,18757.0,141.0,2015.0
Honest Thief,141.884,6.5,1124.0,99.0,2020.0
Fear Street: 1994,137.655,6.8,1226.0,107.0,2021.0
PAW Patrol: Jet to the Rescue,157.469,0.0,0.0,56.0,2021.0
Fatherhood,140.428,7.7,859.0,109.0,2021.0
El Exorcismo de Carmen Farías,134.901,6.4,74.0,93.0,2021.0
Fast & Furious Presents: Hobbs & Shaw,145.33,6.9,5417.0,137.0,2019.0
G.I. Joe: The Rise of Cobra,146.299,5.7,3738.0,118.0,2009.0
22 vs. Earth,157.116,7.1,218.0,9.0,2021.0
Azor,143.506,5.6,7.0,100.0,2021.0
劇場版 ポケットモンスター ミュウツーの逆襲 EVOLUTION,171.112,6.7,345.0,98.0,2019.0
Spider-Man: Into the Spider-Verse,162.399,8.4,10126.0,117.0,2018.0
Abraham Lincoln: Vampire Hunter,153.492,5.7,2625.0,94.0,2012.0
Warning,145.949,5.9,36.0,85.0,2021.0
Once Upon a Snowman,164.474,6.9,388.0,7.0,2020.0
Real Steel,151.173,6.9,6312.0,127.0,2011.0
Need for Speed,112.352,6.3,3404.0,132.0,2014.0
The Conjuring,129.537,7.5,8829.0,112.0,2013.0
The Last Airbender,133.331,4.7,3093.0,103.0,2010.0
Spiral: From the Book of Saw,143.703,6.3,930.0,93.0,2021.0
Love & Other Drugs,130.559,7.0,3969.0,112.0,2010.0
Ted 2,143.756,6.3,5903.0,115.0,2015.0
The Hangover,139.259,7.3,13819.0,100.0,2009.0
The Expendables,131.546,6.2,6202.0,103.0,2010.0
Pacific Rim,135.647,6.8,10092.0,131.0,2013.0
Inception,144.741,8.3,30184.0,148.0,2010.0
The Nightmare Before Christmas,136.45,7.8,7112.0,76.0,1993.0
Cirque du Freak: The Vampire's Assistant,145.311,5.7,838.0,109.0,2009.0
Cato,155.765,2.0,1.0,0.0,2021.0
Seed of Chucky,124.59,5.4,1085.0,87.0,2004.0
The Craft: Legacy,214.36,6.4,475.0,94.0,2020.0
Fuimos canciones,130.055,6.6,62.0,110.0,2021.0
Child's Play,139.534,6.6,2030.0,87.0,1988.0
"Monsters, Inc.",155.086,7.8,14785.0,92.0,2001.0
Project X,132.264,6.8,4826.0,88.0,2012.0
Finding You,141.589,6.4,23.0,119.0,2021.0
Chaos Walking,130.785,6.8,1346.0,109.0,2021.0
Pirates of the Caribbean: On Stranger Tides,164.123,6.5,11352.0,137.0,2011.0
The Lion King,135.559,8.3,14586.0,89.0,1994.0
World War Z,118.892,6.8,12458.0,116.0,2013.0
Ready Player One,130.46,7.6,12141.0,140.0,2018.0
Toy Story 4,123.399,7.6,7466.0,100.0,2019.0
Hotel Transylvania 3: Summer Vacation,133.111,6.9,3332.0,97.0,2018.0
Fifty Shades of Grey,141.527,5.9,9860.0,125.0,2015.0
Predators,131.253,6.2,2963.0,107.0,2010.0
The Karate Kid,133.142,6.5,4653.0,140.0,2010.0
Wrong Turn,120.944,6.1,583.0,110.0,2021.0
La noche mágica,135.977,8.2,20.0,98.0,2021.0
Fury,142.06,7.5,9440.0,135.0,2014.0
Road to Ninja: Naruto the Movie,133.295,7.6,616.0,109.0,2012.0
劇場版 NARUTO -ナルト- ブラッド・プリズン,127.505,7.2,316.0,108.0,2011.0
Trollhunters: Rise of the Titans,130.153,8.0,196.0,106.0,2021.0
The New Mutants,127.816,6.3,2383.0,94.0,2020.0
Shrek,144.217,7.7,13065.0,90.0,2001.0
Sinaliento,123.674,5.9,32.0,106.0,2021.0
No Man of God,131.981,6.9,77.0,100.0,2021.0
Teenage Mutant Ninja Turtles,121.653,5.9,5622.0,101.0,2014.0
Those Who Wish Me Dead,130.33,7.0,925.0,100.0,2021.0
The Legacy of Chucky,114.749,5.4,5.0,14.0,2021.0
ゴブリンスレイヤー -GOBLIN'S CROWN-,138.039,7.7,139.0,85.0,2020.0
2012,135.783,5.8,9992.0,158.0,2009.0
Corpse Bride,120.776,7.5,6743.0,77.0,2005.0
The King of Fighters,119.792,4.7,89.0,93.0,2010.0
Juega Conmigo,115.134,7.2,136.0,80.0,2021.0
Outside the Wire,132.287,6.4,1323.0,116.0,2021.0
Sing 2,117.07,0.0,0.0,112.0,2021.0
Ghostbusters: Afterlife,147.716,7.9,5.0,124.0,2021.0
The Secret Lives of College Freshmen,127.76,2.0,1.0,0.0,2021.0
Thor,136.338,6.8,17242.0,115.0,2011.0
A un paso de mí,131.952,7.0,39.0,0.0,2021.0
Just Go with It,129.168,6.6,4418.0,117.0,2011.0
Child's Play,119.218,6.0,1420.0,90.0,2019.0
Thor: Ragnarok,131.502,7.6,16679.0,131.0,2017.0
Journey 2: The Mysterious Island,128.153,6.1,3290.0,94.0,2012.0
새콤달콤,136.04,7.9,64.0,101.0,2021.0
Interstellar,116.046,8.4,26999.0,169.0,2014.0
The Town,119.717,7.2,3756.0,125.0,2010.0
Terminator Salvation,140.259,6.0,5115.0,115.0,2009.0
Celda 211,125.665,7.5,910.0,110.0,2009.0
Eternal,120.275,4.0,16.0,107.0,2004.0
るろうに剣心 最終章 The Final,120.346,7.9,265.0,138.0,2021.0
Dawn of the Planet of the Apes,114.003,7.3,9097.0,130.0,2014.0
The Kissing Booth 3,131.877,7.3,1221.0,112.0,2021.0
Skylines,124.425,5.7,376.0,113.0,2020.0
Amina,186.998,6.0,5.0,120.0,2021.0
Clash of the Titans,134.318,5.9,5046.0,106.0,2010.0
The Addams Family,116.563,6.7,1619.0,86.0,2019.0
Law Abiding Citizen,138.868,7.3,3759.0,109.0,2009.0
Joker,116.462,8.2,18970.0,122.0,2019.0
Safer at Home,109.528,5.7,86.0,82.0,2021.0
The Conjuring 2,101.648,7.3,6402.0,134.0,2016.0
Madres,121.017,5.9,31.0,83.0,2021.0
The Book of Life,122.104,7.5,2037.0,95.0,2014.0
Bad Trip,123.69,6.1,328.0,87.0,2020.0
Sicario: Day of the Soldado,112.159,6.9,2528.0,122.0,2018.0
After Porn Ends 2,129.369,5.5,183.0,90.0,2017.0
Brothers by Blood,114.855,6.0,83.0,105.0,2020.0
The Wolf of Wall Street,127.565,8.0,18565.0,180.0,2013.0
Prometheus,109.482,6.5,9786.0,124.0,2012.0
Captain America: Civil War,120.428,7.4,18797.0,147.0,2016.0
Tenet,132.599,7.3,6282.0,150.0,2020.0
Fifty Shades Freed,124.672,6.7,6563.0,105.0,2018.0
Sentinelle,114.789,5.9,454.0,80.0,2021.0
天気の子,126.581,8.1,1228.0,112.0,2019.0
Cinderella,109.329,6.7,877.0,113.0,2021.0
Shrek 2,124.478,7.1,9344.0,93.0,2004.0
Best Sellers,97.152,6.4,23.0,100.0,2021.0
Distancia de rescate,112.679,6.1,68.0,93.0,2021.0
Vanquish,128.132,6.0,165.0,96.0,2021.0
W lesie dziś nie zaśnie nikt,115.017,5.0,379.0,102.0,2020.0
Mickey's Tale of Two Witches,177.282,7.0,12.0,46.0,2021.0
Crisis,101.411,6.4,153.0,118.0,2021.0
Venom,106.563,5.5,217.0,85.0,2005.0
District 9,111.488,7.4,7461.0,112.0,2009.0
The Proposal,115.539,7.1,5084.0,108.0,2009.0
Taken 3,128.222,6.2,4645.0,109.0,2014.0
No Sudden Move,91.432,6.5,278.0,115.0,2021.0
Universal Soldier: Regeneration,113.026,5.6,319.0,97.0,2009.0
Transformers: The Last Knight,114.472,6.1,4704.0,154.0,2017.0
Scooby-Doo,120.75,6.0,3337.0,88.0,2002.0
The Voyeurs,95.844,6.9,268.0,117.0,2021.0
The Fate of the Furious,100.659,6.9,8595.0,136.0,2017.0
Brothers,86.645,7.0,1897.0,105.0,2009.0
