original_title,popularity,vote_average,vote_count,runtime,release_year
Skjelvet,33.187,6.8,486.0,106.0,2018.0
Time Trap,35.381,6.1,700.0,95.0,2017.0
ホムンクルス,39.785,6.2,51.0,119.0,2021.0
Nussa,33.959,6.7,3.0,107.0,2021.0
Hook,28.568,6.9,4211.0,142.0,1991.0
Love and Monsters,31.463,7.4,2653.0,109.0,2020.0
Children of Men,30.514,7.6,5488.0,109.0,2006.0
Austin Powers: International Man of Mystery,37.912,6.5,2538.0,94.0,1997.0
The Grand Budapest Hotel,36.015,8.0,11593.0,100.0,2014.0
Only the Brave,27.668,7.3,1119.0,134.0,2017.0
Austin Powers: The Spy Who Shagged Me,39.407,6.2,2563.0,95.0,1999.0
Scream,29.207,0.0,0.0,0.0,2022.0
Mike and Dave Need Wedding Dates,27.163,6.1,2094.0,98.0,2016.0
Norbit,38.656,5.6,1730.0,102.0,2007.0
Unfaithful,31.904,6.6,1082.0,124.0,2002.0
映画ドラえもん のび太と奇跡の島 ～アニマル アドベンチャー～,27.047,7.1,38.0,100.0,2012.0
The Prince of Egypt,31.354,7.2,2993.0,99.0,1998.0
The Descendants,30.656,6.8,2148.0,115.0,2011.0
Instant Family,35.917,7.6,2122.0,118.0,2018.0
Spy,33.905,6.8,5071.0,120.0,2015.0
Contagion,36.603,6.6,4787.0,106.0,2011.0
My Little Pony: The Movie,32.407,7.2,285.0,99.0,2017.0
Ouija: Origin of Evil,32.904,6.1,1954.0,99.0,2016.0
50/50,34.599,7.1,3009.0,100.0,2011.0
The Butterfly Effect,31.793,7.5,5724.0,113.0,2004.0
โกสต์แล็บ..ฉีกกฎทดลองผี,35.712,6.4,82.0,117.0,2021.0
"I, Robot",34.592,6.9,9533.0,115.0,2004.0
Friday the 13th: A New Beginning,36.64,5.3,779.0,92.0,1985.0
Barb & Star Go to Vista Del Mar,30.037,5.9,94.0,107.0,2021.0
No Country for Old Men,30.084,7.9,9110.0,122.0,2007.0
The Wishmas Tree,28.809,7.0,55.0,90.0,2020.0
증인,39.533,7.7,38.0,129.0,2019.0
Ben-Hur,35.076,7.8,1938.0,222.0,1959.0
Barbie Mariposa,36.826,6.7,376.0,75.0,2008.0
少林足球,34.371,7.0,1556.0,113.0,2001.0
Os Salafrários,25.383,6.7,64.0,94.0,2021.0
Јужни Ветар 2: Убрзање,34.795,9.3,4.0,0.0,2021.0
Full Metal Jacket,33.116,8.1,8039.0,117.0,1987.0
300,37.288,7.2,11132.0,117.0,2007.0
Sabotage,34.368,5.6,1110.0,110.0,2014.0
Ice Age: A Mammoth Christmas,38.112,6.5,475.0,26.0,2011.0
うる星やつら オンリー・ユー,29.927,6.3,19.0,101.0,1983.0
The Return of the Living Dead,36.452,7.2,1176.0,91.0,1985.0
劇場版「Fate/stay night [Heaven’s Feel]」Ⅰ.presage flower,33.113,7.5,129.0,120.0,2017.0
The Perks of Being a Wallflower,31.998,7.8,8533.0,103.0,2012.0
Replicas,30.609,6.1,1011.0,107.0,2018.0
First Man,30.054,7.0,4227.0,141.0,2018.0
Los perros,40.297,6.0,15.0,94.0,2017.0
What Lies Below,29.929,5.2,93.0,87.0,2020.0
I Know What You Did Last Summer,24.331,5.9,2037.0,100.0,1997.0
Bruce Almighty,38.979,6.7,8740.0,101.0,2003.0
Dante's Inferno: An Animated Epic,28.581,6.9,363.0,84.0,2010.0
지푸라기라도 잡고 싶은 짐승들,37.856,7.2,123.0,108.0,2020.0
A-X-L,31.089,6.3,946.0,98.0,2018.0
Revenge,33.335,6.4,1315.0,109.0,2018.0
劇場版 呪術廻戦 0,39.505,0.0,0.0,0.0,2021.0
Triple 9,29.828,5.9,1705.0,115.0,2016.0
My Spy,24.597,7.0,842.0,99.0,2020.0
Enola Holmes,38.313,7.4,4046.0,123.0,2020.0
Sex School: Final Exams,30.909,5.6,11.0,101.0,2018.0
Us,35.133,7.0,5418.0,116.0,2019.0
Hot Girls Wanted,37.819,5.9,451.0,84.0,2015.0
Lord of War,32.514,7.3,3472.0,122.0,2005.0
ドラゴンボールZ・絶望への反抗!!残された超戦士・悟飯とトランクス,32.312,7.5,378.0,48.0,1993.0
The Shallows,33.818,6.4,4237.0,86.0,2016.0
Transporter 2,36.309,6.3,2720.0,87.0,2005.0
Love Actually,30.298,7.1,5188.0,135.0,2003.0
The Boss Baby,32.901,6.5,5981.0,97.0,2017.0
Dangerous Worry Dolls,29.211,3.8,14.0,75.0,2008.0
斉木楠雄のΨ難,30.835,6.2,18.0,97.0,2017.0
小鳥遊六花・改 ～劇場版 中二病でも恋がしたい!～,38.379,7.0,53.0,97.0,2013.0
Aloha Scooby-Doo!,30.533,7.1,312.0,74.0,2005.0
Bad Boys II,36.882,6.6,4217.0,147.0,2003.0
Alien Resurrection,33.127,6.1,3581.0,109.0,1997.0
The Mummy: Tomb of the Dragon Emperor,35.475,5.4,3523.0,112.0,2008.0
13 Going on 30,34.173,6.7,4024.0,98.0,2004.0
Reaptown,32.054,4.7,8.0,77.0,2020.0
アオハライド,32.125,6.7,45.0,122.0,2014.0
It's a Wonderful Life,37.018,8.3,3086.0,130.0,1946.0
Batman: Under the Red Hood,33.02,7.8,1167.0,75.0,2010.0
American Traitor: The Trial of Axis Sally,31.509,5.7,21.0,107.0,2021.0
Run All Night,27.679,6.4,2300.0,114.0,2015.0
おおかみこどもの雨と雪,36.517,8.3,1648.0,117.0,2012.0
Bridge to Terabithia,49.087,7.3,3642.0,96.0,2007.0
Naruto x UT,31.531,7.9,9.0,6.0,2011.0
Crystal Lake Memories: The Complete History of Friday the 13th,34.111,7.9,70.0,400.0,2013.0
Dragonheart: Vengeance,32.732,7.0,247.0,97.0,2020.0
Wish Upon a Unicorn,33.876,7.2,36.0,93.0,2020.0
Rocky II,32.752,7.2,3178.0,119.0,1979.0
Steven Universe: The Movie,32.019,8.4,610.0,82.0,2019.0
Aladdin and the King of Thieves,27.741,6.3,1507.0,81.0,1996.0
Men in Black,34.64,7.2,11121.0,98.0,1997.0
Gulliver's Travels,27.991,5.2,1871.0,85.0,2010.0
We Come as Friends,30.38,6.7,13.0,110.0,2014.0
"장화, 홍련",26.483,7.1,791.0,115.0,2003.0
Friday the 13th Part III,32.129,5.8,936.0,95.0,1982.0
The Rugrats Movie,37.727,6.1,439.0,79.0,1998.0
The League of Extraordinary Gentlemen,28.877,5.9,3177.0,110.0,2003.0
Ong Bak 2,34.729,6.4,469.0,98.0,2008.0
News of the World,29.383,7.0,1180.0,118.0,2020.0
The Exorcist III,25.675,6.2,462.0,110.0,1990.0
About Time,29.479,7.9,6521.0,123.0,2013.0
Transformers: Dark of the Moon,32.919,6.1,6613.0,154.0,2011.0
The Santa Clause 2,25.722,5.8,946.0,104.0,2002.0
Jojo Rabbit,33.544,8.1,6695.0,108.0,2019.0
Halloween H20: 20 Years Later,28.87,6.0,1149.0,86.0,1998.0
Ex Machina,33.023,7.6,10679.0,108.0,2015.0
宝葫芦的秘密,37.398,7.3,81.0,85.0,2007.0
Broken City,29.716,5.9,1147.0,109.0,2013.0
Forever My Girl,34.373,7.6,920.0,104.0,2018.0
The Beta Test,30.294,5.8,12.0,93.0,2021.0
Monte Carlo,30.961,6.6,1784.0,109.0,2011.0
Sulla stessa onda,33.037,6.8,171.0,99.0,2021.0
屍者の帝国,38.378,6.1,64.0,120.0,2015.0
The Boy,33.906,5.9,3084.0,97.0,2016.0
Playing It Cool,27.933,5.9,607.0,94.0,2014.0
The Sixth Sense,31.089,7.9,9004.0,107.0,1999.0
The Thing,31.841,6.2,2160.0,103.0,2011.0
映画ドラえもん 新・のび太と鉄人兵団 ～はばたけ 天使たち～,29.62,7.8,31.0,108.0,2011.0
Barbie: A Fairy Secret,35.687,6.7,366.0,72.0,2011.0
Midnight in the Switchgrass,28.105,6.5,173.0,99.0,2021.0
Inferno,29.838,6.0,5279.0,121.0,2016.0
The Commuter,31.339,6.3,3546.0,104.0,2018.0
Passengers,27.114,6.9,10918.0,116.0,2016.0
Downsizing,34.086,5.3,2914.0,135.0,2017.0
Uncut Gems,30.095,7.1,3281.0,136.0,2019.0
劇場版 艦これ,29.07,4.8,13.0,93.0,2016.0
Avatar: Creating the World of Pandora,32.84,6.4,14.0,23.0,2010.0
Underworld,35.375,6.8,5016.0,122.0,2003.0
Hoodwinked Too! Hood VS. Evil,27.169,5.2,419.0,86.0,2011.0
The Double,32.42,5.8,495.0,98.0,2011.0
Mine,31.174,6.6,1043.0,133.0,2016.0
Facing the Giants,30.916,7.5,285.0,111.0,2006.0
Robert Reborn,30.663,4.1,16.0,85.0,2019.0
Vehicle 19,37.416,5.3,415.0,85.0,2013.0
Romance,33.913,5.4,159.0,99.0,1999.0
Journey to the Center of the Earth,34.314,6.0,3843.0,93.0,2008.0
Clown,28.168,5.6,1022.0,100.0,2014.0
Promising Young Woman,36.116,7.6,1616.0,114.0,2020.0
Kingdom of Heaven,37.659,6.8,3087.0,144.0,2005.0
Secret Window,23.306,6.6,2820.0,96.0,2004.0
The Loft,29.625,6.4,1152.0,108.0,2014.0
The Founder,30.412,7.1,3718.0,115.0,2016.0
Hitman,32.601,6.1,2527.0,89.0,2007.0
Austin Powers in Goldmember,38.639,6.0,2430.0,94.0,2002.0
The Karate Kid,26.284,7.1,3022.0,126.0,1984.0
言の葉の庭,35.138,7.6,1445.0,46.0,2013.0
Inherent Vice,26.434,6.6,1965.0,149.0,2014.0
Los viejos,27.688,4.0,2.0,80.0,2011.0
Adrift,26.587,6.9,2139.0,96.0,2018.0
ひるなかの流星,30.162,7.8,51.0,119.0,2017.0
Cementerio General,26.456,6.6,36.0,90.0,2013.0
American History X,35.721,8.4,9088.0,119.0,1998.0
Nymphomaniac: Vol. II,35.072,6.8,2296.0,124.0,2013.0
Z-O-M-B-I-E-S,31.379,7.5,481.0,94.0,2018.0
The Imitation Game,40.35,8.0,13993.0,113.0,2014.0
Universal Soldier,31.111,6.3,1177.0,102.0,1992.0
After Porn Ends 3,31.785,5.5,72.0,86.0,2018.0
Tropa de Elite,35.559,8.1,1644.0,115.0,2007.0
The Fugitive,26.106,7.4,3163.0,131.0,1993.0
Shaun of the Dead,30.305,7.5,6530.0,99.0,2004.0
The Cobbler,33.06,5.8,1311.0,99.0,2014.0
Planes,30.108,5.9,1275.0,91.0,2013.0
Barbie and the Three Musketeers,31.605,7.2,499.0,81.0,2009.0
Platoon,31.201,7.7,3330.0,120.0,1986.0
Chained Heat,30.209,5.1,37.0,99.0,1983.0
War Room,33.355,7.9,329.0,120.0,2015.0
Men in Black II,34.248,6.3,8022.0,88.0,2002.0
Coming to America,28.795,6.8,3286.0,117.0,1988.0
El robo del siglo,31.368,7.9,566.0,114.0,2020.0
Justice League: The New Frontier,34.593,6.9,377.0,75.0,2008.0
The Nutcracker and the Four Realms,33.306,6.1,1759.0,99.0,2018.0
I Believe,30.407,7.0,52.0,90.0,2017.0
映画ドラえもん のび太と翼の勇者たち,21.997,7.3,22.0,91.0,2001.0
The Exorcism of Emily Rose,34.937,6.5,2111.0,122.0,2005.0
Lair,33.189,3.0,2.0,96.0,2021.0
The Animatrix,38.284,7.2,1130.0,102.0,2003.0
Leprechaun 4: In Space,29.582,4.5,132.0,95.0,1996.0
Malcolm & Marie,26.892,7.1,927.0,106.0,2021.0
Sex Drive,26.079,6.3,979.0,109.0,2008.0
The Mechanic,35.076,6.4,2455.0,93.0,2011.0
Taxi Driver,37.472,8.2,8707.0,114.0,1976.0
Demain tout commence,26.029,7.8,2613.0,118.0,2016.0
功夫瑜伽,26.579,5.9,268.0,107.0,2017.0
The Dictator,31.821,6.1,4567.0,83.0,2012.0
Un efecto óptico,26.835,4.8,23.0,78.0,2021.0
X-Rated: The Greatest Adult Movies of All Time,30.57,5.8,111.0,94.0,2015.0
Metegol,34.569,6.5,322.0,106.0,2013.0
Gremlins 2: The New Batch,29.311,6.4,1879.0,106.0,1990.0
The 6th Day,25.06,5.9,1514.0,123.0,2000.0
Pride and Prejudice and Zombies,31.466,6.1,1772.0,108.0,2016.0
Scooby-Doo! Curse of the Lake Monster,32.061,6.2,375.0,80.0,2010.0
Peligro en tu mirada,31.833,7.1,36.0,0.0,2021.0
Pos eso,26.323,6.1,17.0,81.0,2015.0
Warm Bodies,36.208,6.4,5219.0,97.0,2013.0
Aliens,33.553,7.9,7276.0,137.0,1986.0
Las edades de Lulú,20.204,6.4,159.0,95.0,1990.0
The Village,30.802,6.4,3131.0,108.0,2004.0
Eight Below,22.799,7.0,1382.0,120.0,2006.0
Graf Porno und seine Mädchen,34.476,5.3,6.0,83.0,1969.0
Top Gun,26.743,7.0,5027.0,110.0,1986.0
Puss in Boots,30.797,6.4,2397.0,90.0,2011.0
Braveheart,32.987,7.9,7889.0,178.0,1995.0
Walk of Shame,26.041,5.9,1170.0,95.0,2014.0
Historias de sexo,30.406,5.9,4.0,0.0,1999.0
Escape Plan,28.483,6.7,4077.0,115.0,2013.0
ชัตเตอร์ กดติดวิญญาณ,27.529,7.2,728.0,97.0,2004.0
Brokeback Mountain,28.279,7.8,5340.0,134.0,2005.0
Atomic Blonde,30.032,6.4,5169.0,115.0,2017.0
Room,23.078,8.1,7606.0,118.0,2015.0
AVP: Alien vs. Predator,36.241,5.9,3276.0,101.0,2004.0
Pig,33.464,6.7,347.0,91.0,2021.0
Ma,33.737,5.8,1629.0,99.0,2019.0
映画 中二病でも恋がしたい! -Take On Me-,33.268,7.8,58.0,94.0,2018.0
Monster Trucks,35.922,6.1,658.0,104.0,2016.0
Amando a Maradona,28.844,6.2,11.0,75.0,2005.0
Kill Bill: Vol. 1,33.362,8.0,13880.0,111.0,2003.0
X-Men: The Mutant Watch,29.01,7.2,152.0,22.0,2001.0
Hardcore Henry,34.016,6.3,1810.0,97.0,2015.0
Silence,31.767,7.1,2398.0,161.0,2016.0
Eyes Wide Shut,32.657,7.5,4419.0,159.0,1999.0
Searching,31.32,7.6,2900.0,102.0,2018.0
Happy Death Day 2U,32.972,6.3,2581.0,100.0,2019.0
Luxor,29.101,7.4,6.0,85.0,2021.0
Jeepers Creepers: Reborn,25.696,0.0,0.0,0.0,2021.0
Blade Runner,27.653,7.9,10879.0,117.0,1982.0
Justice League: Throne of Atlantis,34.004,7.1,680.0,72.0,2015.0
Hotel Desire,32.119,5.7,64.0,38.0,2011.0
The Wall,32.753,6.3,654.0,90.0,2017.0
You Don't Mess with the Zohan,33.644,5.7,2887.0,113.0,2008.0
I Can Only Imagine,32.503,7.6,340.0,110.0,2018.0
Die Hard,35.039,7.7,8647.0,131.0,1988.0
8 Mile,37.14,7.1,5532.0,110.0,2002.0
Pete's Dragon,31.245,6.4,1812.0,103.0,2016.0
The Mitchells vs. the Machines,34.277,8.1,1404.0,114.0,2021.0
The Book of Eli,31.837,6.8,4834.0,118.0,2010.0
Hostel: Part III,28.238,5.1,813.0,88.0,2011.0
Girls Trip,30.193,6.8,1284.0,122.0,2017.0
The Last Bus,31.11,5.7,10.0,88.0,2021.0
Ghost,27.929,7.2,4352.0,127.0,1990.0
Mad Money,46.462,6.4,500.0,104.0,2008.0
Superfast!,28.483,5.0,276.0,99.0,2015.0
The Great Gatsby,37.482,7.4,9996.0,143.0,2013.0
Trolls Holiday,31.487,6.7,384.0,26.0,2017.0
Grimsby,31.984,5.9,1826.0,83.0,2016.0
Madly Madagascar,27.479,6.5,158.0,22.0,2013.0
God's Not Dead,27.23,6.0,703.0,113.0,2014.0
Hustlers,24.696,6.5,2366.0,110.0,2019.0
Barbie in 'A Christmas Carol',35.474,7.1,398.0,76.0,2008.0
Fantastic Four: Rise of the Silver Surfer,31.674,5.6,6472.0,92.0,2007.0
Lone Survivor,30.676,7.4,3304.0,121.0,2013.0
Her,33.276,7.9,11492.0,126.0,2013.0
Krampus,31.074,6.1,1520.0,98.0,2015.0
2001: A Space Odyssey,33.465,8.1,8835.0,149.0,1968.0
Murder Mystery,33.632,6.3,3042.0,97.0,2019.0
Spooks: The Greater Good,26.467,5.9,438.0,104.0,2015.0
劇場版 BLEACH 地獄篇,29.714,7.3,110.0,94.0,2010.0
The Mist,28.204,6.8,3695.0,126.0,2007.0
Grease,29.3,7.4,5796.0,110.0,1978.0
"サニー・サイド・バトル!!!, Sanī Saido Batoru!!!",35.043,7.3,3.0,11.0,2014.0
Crazy Rich Asians,30.661,7.1,2812.0,121.0,2018.0
Kidnap,28.156,6.2,1065.0,95.0,2017.0
Hellboy,32.245,6.7,5525.0,122.0,2004.0
Joy Ride 3,21.522,5.4,137.0,96.0,2014.0
Demolition Man,28.69,6.6,2722.0,115.0,1993.0
Good Boys,32.412,6.9,1358.0,89.0,2019.0
College,27.436,4.6,115.0,94.0,2008.0
Fallen,26.941,6.1,1390.0,91.0,2016.0
Chicken Little,29.081,5.9,3076.0,81.0,2005.0
The Walking Dead,28.688,6.7,17.0,88.0,1995.0
The Bourne Identity,28.378,7.4,7369.0,119.0,2002.0
Red Sparrow,34.04,6.5,4950.0,140.0,2018.0
A Question of Faith,30.386,7.5,65.0,104.0,2017.0
La Leyenda del Chupacabras,29.082,7.3,102.0,81.0,2016.0
Case 39,27.676,6.3,1755.0,109.0,2009.0
The Witcher: Nightmare of the Wolf,32.609,7.8,422.0,83.0,2021.0
東京喰種 トーキョーグール【S】,33.19,6.9,50.0,97.0,2019.0
"I, Tonya",28.93,7.5,4581.0,120.0,2017.0
Jack Reacher: Never Go Back,45.899,5.8,3740.0,118.0,2016.0
Terminator 3: Rise of the Machines,35.818,6.1,5133.0,109.0,2003.0
50 First Dates,28.217,6.8,5792.0,99.0,2004.0
Stowaway,29.8,6.0,129.0,117.0,2021.0
The Father,31.981,8.2,1539.0,97.0,2021.0
Wishmaster 2: Evil Never Dies,27.658,5.5,175.0,96.0,1999.0
Nanny McPhee,32.652,6.6,2434.0,97.0,2005.0
秒速5センチメートル,34.901,7.3,1394.0,63.0,2007.0
V.C. Andrews' Pearl in the Mist,31.854,7.2,21.0,90.0,2021.0
Mars Needs Moms,27.348,6.0,502.0,88.0,2011.0
Charlie's Angels,32.868,6.6,2256.0,118.0,2019.0
늑대소년,28.396,7.7,183.0,122.0,2012.0
Godzilla,31.584,5.6,2986.0,139.0,1998.0
The Prestige,30.384,8.2,12293.0,130.0,2006.0
Bølgen,30.888,6.7,984.0,104.0,2015.0
The Rover,27.385,6.3,698.0,103.0,2014.0
Bliss,29.446,5.5,404.0,103.0,2021.0
Hugo,31.231,7.2,5844.0,126.0,2011.0
Storks,30.132,6.6,1874.0,87.0,2016.0
Les éternels,26.192,3.5,2.0,75.0,2017.0
King Arthur: Legend of the Sword,35.382,6.5,4664.0,126.0,2017.0
Rush,33.327,7.7,5588.0,123.0,2013.0
Nerve,34.03,7.1,5958.0,96.0,2016.0
127 Hours,27.825,7.1,6077.0,94.0,2010.0
Birkebeinerne,30.379,5.7,187.0,100.0,2016.0
Taxi,37.62,6.6,1798.0,86.0,1998.0
Unbreakable,34.017,7.1,7414.0,106.0,2000.0
A Clockwork Orange,33.815,8.2,10070.0,137.0,1971.0
Marriage Story,28.788,7.8,5243.0,137.0,2019.0
High School Musical,28.815,6.6,3852.0,98.0,2006.0
App,30.577,5.1,57.0,75.0,2013.0
St. Vincent,28.511,7.1,1486.0,102.0,2014.0
La Planète sauvage,31.051,7.8,598.0,72.0,1973.0
Stolen,33.362,5.4,796.0,96.0,2012.0
The Vow,26.758,7.2,3365.0,104.0,2012.0
Haywire,35.606,5.7,1051.0,93.0,2011.0
Poltergeist,26.551,7.1,2159.0,114.0,1982.0
Adventures of Aladdin,29.516,4.6,30.0,87.0,2019.0
Superman/Batman: Public Enemies,32.098,7.0,452.0,67.0,2009.0
El cadáver de Anna Fritz,28.347,6.9,429.0,76.0,2015.0
The Case for Christ,28.101,6.8,200.0,112.0,2017.0
Smallfoot,26.855,6.8,1176.0,96.0,2018.0
Tomorrowland,31.284,6.2,5931.0,130.0,2015.0
キャプテンハーロック,30.093,6.6,842.0,115.0,2013.0
El Camino: A Breaking Bad Movie,33.31,6.9,3486.0,123.0,2019.0
xXx: State of the Union,29.589,5.0,1435.0,101.0,2005.0
Before I Fall,36.097,7.0,3002.0,98.0,2017.0
The Departed,27.388,8.2,11729.0,151.0,2006.0
Vivarium,27.557,6.0,1138.0,97.0,2019.0
The Babysitter,26.546,6.1,2719.0,85.0,2017.0
Love Scenes,31.325,7.4,8.0,82.0,1984.0
The Woman in the Window,34.639,6.1,1235.0,102.0,2021.0
Kill Command,31.09,5.5,451.0,99.0,2016.0
Old Henry,36.833,7.4,61.0,99.0,2021.0
Nick and Norah's Infinite Playlist,28.083,6.4,969.0,89.0,2008.0
Bulbbul,30.684,6.7,69.0,94.0,2020.0
Lamb,27.383,6.5,35.0,93.0,2016.0
Extinction,23.59,6.0,1409.0,96.0,2018.0
La cara oculta,35.078,7.3,722.0,92.0,2011.0
Arthur Christmas,36.328,6.7,1046.0,97.0,2011.0
Evolution,27.325,6.0,1672.0,101.0,2001.0
Miss Sloane,25.333,7.5,1366.0,132.0,2016.0
From Dusk Till Dawn,30.373,7.0,4561.0,108.0,1996.0
Patriots Day,32.076,7.0,2060.0,133.0,2016.0
Annie,34.05,6.2,1080.0,119.0,2014.0
BlacKkKlansman,23.627,7.6,5994.0,135.0,2018.0
Lethal Weapon 4,27.312,6.6,1953.0,127.0,1998.0
Atlantis: The Lost Empire,29.546,6.9,3711.0,95.0,2001.0
Alien³,26.054,6.3,4163.0,114.0,1992.0
Wind River,27.964,7.4,3787.0,107.0,2017.0
The Spiderwick Chronicles,30.303,6.6,2043.0,95.0,2008.0
Daredevil,35.951,5.2,3974.0,103.0,2003.0
Every Secret Thing,25.553,6.1,255.0,93.0,2014.0
The Invisible Man,29.875,7.2,4135.0,124.0,2020.0
Relatos salvajes,26.8,7.9,2462.0,122.0,2014.0
Paperhouse,29.332,6.8,93.0,92.0,1988.0
Baiohazâdo: Dijenerêshon,31.044,6.8,751.0,97.0,2008.0
The Godfather: Part III,27.74,7.4,4595.0,170.0,1990.0
Titanic II,29.042,4.9,275.0,90.0,2010.0
"Batman: The Dark Knight Returns, Part 2",27.039,8.0,1059.0,78.0,2013.0
सूर्यवंशी,28.383,4.7,5.0,145.0,2021.0
American Assassin,29.796,6.4,2355.0,112.0,2017.0
The World Is Not Enough,44.035,6.3,2160.0,128.0,1999.0
Teen Titans Go! vs. Teen Titans,35.804,8.0,358.0,76.0,2019.0
The Curse of Buckout Road,25.403,6.8,37.0,97.0,2017.0
The Rite,26.48,6.1,1591.0,114.0,2011.0
Creepshow 3,26.718,4.6,98.0,104.0,2006.0
Twelve Monkeys,26.777,7.6,6483.0,129.0,1995.0
The King,28.997,7.2,2211.0,140.0,2019.0
Barbie Presents: Thumbelina,30.775,6.5,356.0,75.0,2009.0
A Princess for Christmas,26.775,7.1,326.0,89.0,2011.0
10 Things I Hate About You,31.871,7.6,6123.0,97.0,1999.0
Silent Hill: Revelation 3D,31.974,5.4,1230.0,94.0,2012.0
Regular Show: The Movie,29.026,7.8,247.0,70.0,2015.0
Flushed Away,29.47,6.2,2926.0,85.0,2006.0
Jingle All the Way,29.218,6.0,1914.0,89.0,1996.0
NARUTO ナルティメットヒーロー3 ついに激突! 上忍VS下忍!! 無差別大乱戦大会開催!!,31.759,4.5,8.0,26.0,2005.0
Step Up Revolution,27.269,6.9,1763.0,99.0,2012.0
Ice Age: The Great Egg-Scapade,31.77,6.4,367.0,25.0,2016.0
Dune Drifter,31.819,3.9,17.0,98.0,2020.0
Al final del túnel,29.266,7.1,284.0,120.0,2016.0
Safe,34.46,6.5,1863.0,94.0,2012.0
"I Love You, Man",25.508,6.5,1258.0,105.0,2009.0
Bright,27.612,6.2,4679.0,117.0,2017.0
Donnie Darko,35.45,7.8,9852.0,114.0,2001.0
Zodiac,27.65,7.5,7773.0,157.0,2007.0
The Fourth Kind,26.499,6.2,1195.0,98.0,2009.0
功夫,29.247,7.4,1966.0,99.0,2004.0
Double Impact,30.694,6.1,724.0,110.0,1991.0
Monster Hunter: Legends of the Guild,25.828,5.8,46.0,58.0,2021.0
Megalodon Rising,23.91,6.8,49.0,86.0,2021.0
Countdown,30.212,6.4,1382.0,90.0,2019.0
Silent Venom,29.18,5.5,23.0,90.0,2009.0
Only Mine,33.863,5.5,57.0,87.0,2019.0
The Boy from Medellín,31.558,5.9,76.0,95.0,2020.0
Gothika,25.484,6.1,1731.0,98.0,2003.0
Lion,28.488,8.1,5494.0,118.0,2016.0
Death Note,32.541,4.2,3340.0,101.0,2017.0
Smurfs: The Lost Village,29.488,6.3,1128.0,89.0,2017.0
The Pacifier,30.13,6.1,2426.0,95.0,2005.0
아가씨,35.686,8.3,2464.0,145.0,2016.0
xXx,29.205,5.9,3321.0,124.0,2002.0
The Hurricane Heist,29.986,5.7,796.0,103.0,2018.0
Son of the Mask,30.422,4.2,1363.0,94.0,2005.0
Top Gun: Maverick,25.582,0.0,0.0,0.0,2022.0
American Psycho,30.621,7.4,7167.0,102.0,2000.0
The Lego Star Wars Holiday Special,31.77,6.7,196.0,44.0,2020.0
E.T. the Extra-Terrestrial,32.618,7.5,9032.0,115.0,1982.0
Ender's Game,24.22,6.6,4718.0,114.0,2013.0
The Other Side of Heaven 2: Fire of Faith,26.444,5.1,7.0,110.0,2019.0
The Help,32.718,8.2,5888.0,146.0,2011.0
僕の初恋をキミに捧ぐ,30.056,7.4,78.0,122.0,2009.0
Next Avengers: Heroes of Tomorrow,25.213,6.9,178.0,78.0,2008.0
Walking with Dinosaurs,28.166,6.0,360.0,87.0,2013.0
Death She Wrote,30.685,2.0,1.0,0.0,2021.0
CHiPS,24.966,6.1,1002.0,100.0,2017.0
Resident Evil,28.028,6.6,4896.0,100.0,2002.0
Seeking a Friend for the End of the World,22.459,6.6,1617.0,101.0,2012.0
Srpski film,30.954,5.5,1349.0,104.0,2010.0
Air Force One,25.951,6.4,2174.0,124.0,1997.0
My Father's Other Family,34.85,1.5,2.0,87.0,2021.0
Siberia,27.464,4.8,394.0,105.0,2018.0
Basic Instinct,28.198,6.8,2734.0,127.0,1992.0
Freaky Friday,28.898,6.4,2909.0,97.0,2003.0
Zero Dark Thirty,30.247,7.0,3552.0,157.0,2012.0
La monja,25.694,5.5,174.0,101.0,2005.0
Unforgettable,30.448,5.8,522.0,100.0,2017.0
Druk,28.632,7.8,1436.0,117.0,2020.0
Step Up,30.89,6.9,3137.0,104.0,2006.0
一個人的武林,32.693,6.7,304.0,100.0,2014.0
Per qualche dollaro in più,23.186,8.0,2843.0,132.0,1965.0
Planes: Fire & Rescue,25.69,6.2,627.0,83.0,2014.0
Z-O-M-B-I-E-S 2,29.467,7.8,292.0,84.0,2020.0
The Green Inferno,26.438,5.6,1028.0,100.0,2014.0
Free Fire,30.689,6.3,849.0,90.0,2017.0
Dances with Wolves,22.179,7.9,3140.0,181.0,1990.0
Reservoir Dogs,32.128,8.2,11152.0,99.0,1992.0
Unfriended,24.332,5.5,2769.0,82.0,2015.0
Big Game,28.432,5.4,908.0,90.0,2014.0
Avatar 3,27.943,0.0,0.0,0.0,2024.0
Aquaman and The Lost Kingdom,28.473,0.0,0.0,0.0,2022.0
The Strangers,28.925,6.1,1795.0,86.0,2008.0
Click,26.373,6.2,5584.0,107.0,2006.0
ドラゴンボールＺ オラの悟飯をかえせッ!!,32.67,6.6,386.0,41.0,1989.0
Triple Frontier,25.635,6.3,2393.0,125.0,2019.0
War of the Worlds,29.517,6.5,6517.0,117.0,2005.0
ドラゴンボール エピソード オブ バーダック,38.019,6.8,291.0,20.0,2011.0
Meet Joe Black,24.665,7.2,3639.0,178.0,1998.0
Polaroid,32.371,5.8,15.0,15.0,2015.0
Bad Moms,28.37,6.5,3494.0,100.0,2016.0
The Ant Bully,28.662,5.7,1057.0,88.0,2006.0
